nodId,animalId,nodNumber,sex,strain,motherId,fatherId,cleanDiagnosis,cause,numSnvs,numIndels,sisterExchanges,den1sig,den2sig,spont1sig,spont2sig,cosineSigFit,knownDriver,cloneType,cellularityBin
90004_N6,90004,N6,Male,c3h,87487,87441,DN,DEN,64856,534,39,0.9637393,0.03574168,0.0004252525,9.381122e-05,0.996416283346172,Egfr;Egfr,clonal,0.595
90022_N1,90022,N1,Male,c3h,87488;87489,87442,DN,DEN,70860,1122,33,0.847937071,0.1428883289,0.0004193554,0.0087552447,0.996517418324565,Braf;Braf,clonal,0.795
90022_N2,90022,N2,Male,c3h,87488;87489,87442,DN,DEN,68960,1234,40,0.9602547,0.03627798,0.003369409,9.789836e-05,0.995138190982533,Egfr,clonal,0.795
90170_N2,90170,N2,Male,c3h,85536;86677,87453,DN,DEN,47897,642,26,0.7792821282,0.2188133032,0.0016562138,0.0002483548,0.997512712979492,Braf,clonal,0.195
90170_N3,90170,N3,Male,c3h,85536;86677,87453,DN,DEN,86978,1118,35,0.936454,0.05926891,0.004201604,7.552148e-05,0.997602341158751,Egfr;Hras,clonal,0.665
90400_N1,90400,N1,Male,c3h,86564,87451,DN,DEN,65529,879,42,0.955380092,0.0440880673,0.0004249089,0.0001069318,0.996696340888261,Braf,clonal,0.795
90400_N4,90400,N4,Male,c3h,86564,87451,DN,DEN,87084,970,23,0.4312961683,0.5684733753,0.0001809815,4.94749e-05,0.990104408039399,Hras,clonal,0.665
90400_N5,90400,N5,Male,c3h,86564,87451,DN,DEN,42235,608,21,0.638382987,0.298044327,0.063402397,0.000170289,0.994267228754823,Braf,clonal,0.665
90402_N1,90402,N1,Male,c3h,86564,87451,DN,DEN,62389,999,40,0.770939172,0.209693378,0.009842638,0.009524812,0.995640779387992,Hras,clonal,0.795
90446_N3,90446,N3,Male,c3h,86566,87452,DN,DEN,88328,785,43,0.8662100462,0.1329213182,0.0007277789,0.0001408567,0.998520054303242,Braf,clonal,0.795
90446_N4,90446,N4,Male,c3h,86566,87452,DN,DEN,79570,797,36,0.8824697253,0.0976903693,0.0197237763,0.0001161291,0.998365032037116,Hras,clonal,0.595
90789_N1,90789,N1,Male,c3h,86690;86691,81567,DN,DEN,83902,1134,34,0.8836685216,0.1156217741,0.0001552245,0.0005544798,0.995915853888792,Hras,clonal,0.795
90791_N3,90791,N3,Male,c3h,86690;86691,81567,DN,DEN,70369,863,22,0.9103450483,0.0868225373,0.0001303679,0.0027020465,0.994406027611695,Hras,clonal,0.795
90796_N3,90796,N3,Male,c3h,86690;86691,81567,DN,DEN,60263,881,147,0.6631876011,0.3359543571,0.000566823,0.0002912189,0.998324989630506,Hras,clonal,0.795
90797_N1,90797,N1,Male,c3h,86690;86691,81567,DN,DEN,52748,739,19,0.881991804,0.1165919321,0.0003927126,0.0010235513,0.998643407473019,Hras,clonal,0.795
90797_N2,90797,N2,Male,c3h,86690;86691,81567,DN,DEN,52414,821,15,0.9395519201,0.0547963139,0.0055112989,0.0001404671,0.996887134923448,Hras,clonal,0.665
90797_N3,90797,N3,Male,c3h,86690;86691,81567,DN,DEN,71226,787,24,0.9653748,0.03432379,0.0002206358,8.078951e-05,0.996235387930542,Hras,clonal,0.795
90798_N1,90798,N1,Male,c3h,86690;86691,81567,DN,DEN,70353,1065,25,0.9020265832,0.0974429959,0.0001849624,0.0003454585,0.998127364488979,Hras,clonal,0.665
90801_N1,90801,N1,Male,c3h,86766,86568,DN,DEN,68786,759,21,0.8340025124,0.141891855,0.0239710714,0.0001345612,0.998623654788471,Hras,clonal,0.595
90802_N1,90802,N1,Male,c3h,86766,86568,DN,DEN,55917,715,30,0.838865664,0.1596486352,0.0006330466,0.0008526542,0.998152304237293,Hras,clonal,0.665
90803_N7,90803,N7,Male,c3h,86766,86568,DN,DEN,67186,612,12,0.900619953,0.096127181,0.002097706,0.001155159,0.997872043296398,Hras;Hras,clonal,0.665
90803_N8,90803,N8,Male,c3h,86766,86568,DN,DEN,52522,561,21,0.9130140801,0.0856240895,0.0009502573,0.0004115731,0.996198056715132,Hras,clonal,0.395
90810_N1,90810,N1,Male,c3h,86767;86683,86569,DN,DEN,59929,704,26,0.8086897501,0.1802015552,0.0009073718,0.010201323,0.997277765819921,Egfr,clonal,0.795
90810_N2,90810,N2,Male,c3h,86767;86683,86569,DN,DEN,66172,612,17,0.9071061239,0.0885797066,0.0038666857,0.0004474839,0.997762332243564,Hras,clonal,0.595
90810_N3,90810,N3,Male,c3h,86767;86683,86569,DN,DEN,61076,870,20,0.8873182592,0.1043343572,0.008178821,0.0001685626,0.996450078116124,Braf,clonal,0.665
90810_N4,90810,N4,Male,c3h,86767;86683,86569,DN,DEN,63427,630,24,0.9158656184,0.0832418194,0.0004352247,0.0004573375,0.999330971840969,Braf,clonal,0.595
90810_N5,90810,N5,Male,c3h,86767;86683,86569,DN,DEN,57471,890,19,0.8739765871,0.1151185568,0.0106633085,0.0002415477,0.998612636757909,Hras,clonal,0.795
90880_N1,90880,N1,Male,c3h,86563,87451,DN,DEN,82630,888,21,0.8588192756,0.1402557958,0.0005309925,0.0003939361,0.998899050452773,Hras,clonal,0.595
90880_N2,90880,N2,Male,c3h,86563,87451,DN,DEN,24337,744,18,0.747624651,0.200542128,0.04648757,0.005345652,0.996011032565431,Braf,clonal,0.795
90885_N1,90885,N1,Male,c3h,86765,86568,DN,DEN,68913,888,24,0.8870081692,0.1115579707,0.0003943936,0.0010394665,0.998130325660046,Hras,clonal,0.795
90885_N2,90885,N2,Male,c3h,86765,86568,DN,DEN,57367,589,31,0.7500778446,0.2404256741,0.0008564667,0.0086400146,0.997103785710539,Braf,clonal,0.595
90886_N2,90886,N2,Male,c3h,86765,86568,DN,DEN,50602,625,19,0.9507414988,0.0488756502,0.0002274961,0.0001553549,0.996074936952763,Braf,clonal,0.795
90886_N3,90886,N3,Male,c3h,86765,86568,DN,DEN,62676,553,30,0.8438068038,0.1536529502,0.0021567321,0.0003835139,0.99768566942425,Egfr,clonal,0.665
90886_N4,90886,N4,Male,c3h,86765,86568,DN,DEN,85377,757,28,0.9205105,0.07924091,0.0001663975,8.223163e-05,0.998271252794849,Braf,clonal,0.195
90886_N5,90886,N5,Male,c3h,86765,86568,DN,DEN,73629,712,31,0.866479867,0.133222437,0.0001245829,0.0001731131,0.995078781825955,Hras,clonal,0.745
90886_N6,90886,N6,Male,c3h,86765,86568,DN,DEN,57991,717,22,0.8862289985,0.1130866963,0.0003515093,0.000332796,0.998499751819581,Egfr;Hras,clonal,0.665
90887_N1,90887,N1,Male,c3h,86765,86568,DN,DEN,66019,663,27,0.79266522,0.198560733,0.00366743,0.005106617,0.996867516461951,Egfr;Braf,clonal,0.795
90887_N3,90887,N3,Male,c3h,86765,86568,DN,DEN,74624,699,31,0.9026257283,0.0920304951,0.0051952548,0.0001485218,0.998314490281493,Hras,clonal,0.595
90888_N1,90888,N1,Male,c3h,86765,86568,DN,DEN,105113,810,41,0.3460396,0.6482192,0.005658616,8.259526e-05,0.996788676535623,Kras;Braf,clonal,0.595
90888_N2,90888,N2,Male,c3h,86765,86568,DN,DEN,78496,548,37,0.8078830481,0.1908046429,0.0009146368,0.0003976722,0.997133802394496,Hras,clonal,0.195
90888_N3,90888,N3,Male,c3h,86765,86568,DN,DEN,20321,608,6,0.74447053,0.20469425,0.02136242,0.0294728,0.995216691550369,Braf,clonal,0.795
90888_N4,90888,N4,Male,c3h,86765,86568,DN,DEN,62927,764,25,0.9156571209,0.0838216292,0.0003737429,0.000147507,0.998517534318652,Braf,clonal,0.795
91097_N1,91097,N1,Male,c3h,87416;87417,87439,DN,DEN,45516,848,12,0.7788648255,0.2036632094,0.0167198706,0.0007520944,0.998007346644288,Braf,clonal,0.795
91097_N2,91097,N2,Male,c3h,87416;87417,87439,DN,DEN,39517,754,10,0.877780977,0.1210339654,0.0005451322,0.0006399254,0.997957071148923,Braf,clonal,0.745
91099_N1,91099,N1,Male,c3h,87416;87417,87439,DN,DEN,22449,1176,24,0.898419815,0.085509579,0.007985967,0.008084639,0.998082552214342,Hras,clonal,0.795
91099_N2,91099,N2,Male,c3h,87416;87417,87439,DN,DEN,78911,1349,32,0.8992209318,0.1003432009,0.0001499631,0.0002859042,0.9951403225828,Hras,clonal,0.795
91100_N1,91100,N1,Male,c3h,87416;87417,87439,DN,DEN,59830,665,34,0.912453477,0.0869823051,0.0002409329,0.0003232851,0.997888959618811,Braf,clonal,0.595
91100_N2,91100,N2,Male,c3h,87416;87417,87439,DN,DEN,54882,819,19,0.8729216523,0.1255881869,0.0011489833,0.0003411775,0.999222031645155,Hras,clonal,0.795
91100_N4,91100,N4,Male,c3h,87416;87417,87439,DN,DEN,83880,770,43,0.9045117715,0.0950550321,0.0003192147,0.0001139817,0.997351471559815,Braf,clonal,0.665
91113_N1,91113,N1,Male,c3h,87420;87421,87442,DN,DEN,62159,682,22,0.797600854,0.18371121,0.013126434,0.005561503,0.997829539344021,Hras,clonal,0.595
91113_N2,91113,N2,Male,c3h,87420;87421,87442,DN,DEN,89528,596,23,0.9800601768,0.0194610961,0.0002450691,0.000233658,0.987177767765315,Hras,clonal,0.595
91113_N3,91113,N3,Male,c3h,87420;87421,87442,DN,DEN,56147,755,34,0.959666038,0.037324999,0.002899527,0.000109436,0.996229332910088,Egfr,clonal,0.665
91113_N4,91113,N4,Male,c3h,87420;87421,87442,DN,DEN,58744,663,26,0.9193077,0.0679456,0.01265553,9.117484e-05,0.997023377426949,Hras,clonal,0.665
91113_N6,91113,N6,Male,c3h,87420;87421,87442,DN,DEN,20316,370,16,0.6906213905,0.2727926362,0.0358511957,0.0007347776,0.994985637308242,Braf,clonal,0.495
91113_N7,91113,N7,Male,c3h,87420;87421,87442,DN,DEN,50599,522,27,0.8898518675,0.1092454939,0.0006890087,0.0002136299,0.999002823672656,Hras,clonal,0.495
91208_N1,91208,N1,Male,c3h,86774,86571,DN,DEN,55236,1015,25,0.8771410379,0.1194114544,0.0030778363,0.0003696713,0.998160922521536,Braf,clonal,0.795
91208_N2,91208,N2,Male,c3h,86774,86571,DN,DEN,86774,775,27,0.9153875,0.08431335,0.0002391873,5.995226e-05,0.999171402489916,Hras,WGD,0.195
91213_N1,91213,N1,Male,c3h,87418;87419,81568,DN,DEN,73017,583,37,0.5845150345,0.3863329452,0.0286091826,0.0005428377,0.997149529611049,Braf,clonal,0.195
91213_N2,91213,N2,Male,c3h,87418;87419,81568,DN,DEN,55345,728,26,0.8777431322,0.1214148454,0.0002617359,0.0005802865,0.997505231711685,Braf,clonal,0.795
91215_N1,91215,N1,Male,c3h,87418;87419,81568,DN,DEN,54192,872,31,0.9034934884,0.0955837931,0.0005236932,0.0003990253,0.999230290279485,Egfr,clonal,0.795
91215_N2,91215,N2,Male,c3h,87418;87419,81568,DN,DEN,49546,780,14,0.943979346,0.0535536285,0.0023269258,0.0001400997,0.996288352784695,Kras;Braf,clonal,0.795
91215_N4,91215,N4,Male,c3h,87418;87419,81568,DN,DEN,62459,689,22,0.7388723916,0.2558649422,0.0004238563,0.00483881,0.998594128375524,Hras,clonal,0.795
91215_N6,91215,N6,Male,c3h,87418;87419,81568,DN,DEN,30679,492,11,0.8422524851,0.1516029261,0.0055761246,0.0005684643,0.996584655795489,Hras,clonal,0.595
91215_N7,91215,N7,Male,c3h,87418;87419,81568,DN,DEN,97972,628,13,0.7819451441,0.2100779616,0.0073241362,0.0006527581,0.997851637342198,Hras,WGD,0.395
