fitness,error free replication,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-10,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,b,p,q,q/p,w_prime,w_prime - e*p_prime - (1-e)*q_prime
0.35000000000000003,0.25,0.0,0.0,0.0,0.2625,0.22585937499999997,0.16717626953124998,0.11617515563964839,0.21065250969216037,0.22828919982910137,0.044140625000000044,0.08047761456311954,0.0,0.13019792181285056,0.675,0.2079207920792079,0.4851485148514851,2.333333333333333,0.801980198019802,1.1102230246251565e-16
0.4,0.25,0.0,0.0,0.0,0.30000000000000004,0.24500000000000008,0.16975,0.10981250000000004,0.1669832695494142,0.17543750000000014,0.02499999999999994,0.03721642782428209,0.0,0.13036511228085526,0.7,0.23076923076923075,0.5384615384615384,2.3333333333333335,0.8076923076923075,-1.1102230246251565e-16
0.45,0.25,0.0,0.0,0.0,0.33749999999999997,0.26085937499999995,0.16839404296874996,0.1008719329833984,0.12854721678175787,0.1323746490478515,0.009140625000000069,0.03010351600911791,0.0,0.13027071795826267,0.725,0.25233644859813087,0.588785046728972,2.3333333333333335,0.8130841121495327,0.0
0.5,0.25,0.0,0.0,0.0,0.37500000000000006,0.2734375,0.16357421874999997,0.09017944335937499,0.09618715491342299,0.097808837890625,0.0,0.025607494794939425,0.0,0.130049125485998,0.75,0.2727272727272727,0.6363636363636364,2.3333333333333335,0.8181818181818182,0.0
0.55,0.25,0.0,0.0,0.0,0.4125000000000001,0.28273437500000004,0.15575634765625002,0.07846983337402343,0.06990350194572906,0.07053944396972654,0.0,0.018661792289718985,0.0,0.13,0.775,0.2920353982300885,0.6814159292035399,2.3333333333333335,0.8230088495575222,0.0
0.35000000000000003,0.30000000000000004,0.0,0.0,0.0,0.24500000000000005,0.22461250000000008,0.17067246875000006,0.120251669453125,0.22083578540960214,0.23946336179687486,0.04538749999999994,0.10100342437465058,0.0,0.1304373473711411,0.675,0.19678714859437746,0.47791164658634533,2.428571428571429,0.7590361445783131,0.0
0.4,0.30000000000000004,0.0,0.0,0.0,0.27999999999999997,0.24480000000000002,0.17452800000000002,0.11467008000000001,0.17695027439220037,0.18600192000000004,0.0252,0.05411289890300097,0.0,0.13080926107887011,0.7,0.21875,0.53125,2.4285714285714284,0.7656249999999999,0.0
0.45,0.30000000000000004,0.0,0.0,0.0,0.315,0.2620125,0.17450803125,0.10639181320312499,0.13792121128023602,0.14208765554687497,0.007987500000000036,0.036274015779218266,0.0,0.13080704480551106,0.725,0.23954372623574144,0.5817490494296578,2.4285714285714284,0.7718631178707224,-1.1102230246251565e-16
0.5,0.30000000000000004,0.0,0.0,0.0,0.35,0.27625000000000005,0.17103125000000002,0.09621015625000001,0.10470624671596929,0.10650859375000002,0.0,0.0326027372556738,0.0,0.13046719310448318,0.75,0.2592592592592592,0.6296296296296295,2.428571428571429,0.7777777777777777,-1.1102230246251565e-16
0.55,0.30000000000000004,0.0,0.0,0.0,0.385,0.2875125,0.16451634375,0.08483658820312501,0.0774085435790531,0.07813456804687498,0.0,0.026477369787578277,0.0,0.13007842773061246,0.775,0.2779783393501805,0.6750902527075813,2.428571428571429,0.7833935018050541,0.0
0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.22749999999999998,0.22305937499999998,0.17402855859374997,0.12433524950683589,0.23139556183626575,0.2510768168994138,0.04694062500000004,0.12192664475216676,0.0,0.13075916790364314,0.675,0.18533604887983704,0.47046843177189407,2.5384615384615388,0.7148676171079429,0.0
0.4,0.35000000000000003,0.0,0.0,0.0,0.26,0.2442,0.179154,0.11956698000000002,0.18738112220052777,0.19707902000000002,0.025800000000000017,0.07432851835036401,0.0,0.131403484413466,0.7,0.20634920634920634,0.5238095238095238,2.5384615384615388,0.7222222222222221,1.1102230246251565e-16
0.45,0.35000000000000003,0.0,0.0,0.0,0.2924999999999999,0.2626593749999999,0.18046887890624996,0.11199508466308593,0.14783552348606316,0.152376661430664,0.0073406250000001005,0.049939765317117045,0.0,0.13160157675225145,0.725,0.2263056092843327,0.5744680851063829,2.5384615384615383,0.7292069632495164,0.0
0.5,0.35000000000000003,0.0,0.0,0.0,0.32499999999999996,0.27843749999999995,0.17834765625,0.102379833984375,0.11382741468738854,0.115835009765625,0.0,0.039630073679822526,0.0,0.13128837149522485,0.75,0.2452830188679245,0.6226415094339622,2.5384615384615388,0.7358490566037735,0.0
0.55,0.35000000000000003,0.0,0.0,0.0,0.35749999999999993,0.291534375,0.17316479296875,0.09140840849121094,0.08556031385567474,0.08639242354003904,0.0,0.03463962315990244,0.0,0.1306648834764339,0.775,0.26335174953959484,0.6685082872928177,2.5384615384615388,0.7421731123388581,0.0
0.6000000000000001,0.35000000000000003,0.0,0.0,0.0,0.39000000000000007,0.30195000000000016,0.16529475000000007,0.07969489875000003,0.06273910222124274,0.06306035125000004,0.0,0.02719971282132411,0.0,0.13010777985025532,0.8,0.2805755395683453,0.7122302158273383,2.538461538461539,0.7482014388489207,-1.1102230246251565e-16
0.4,0.4,0.0,0.0,0.0,0.24000000000000002,0.2432,0.18361600000000003,0.12449408000000002,0.1982914220498036,0.20868992000000008,0.026800000000000018,0.0960492944565779,0.0,0.1321276483405347,0.7,0.1935483870967742,0.5161290322580645,2.6666666666666665,0.6774193548387095,-1.1102230246251565e-16
0.45,0.4,0.0,0.0,0.0,0.26999999999999996,0.2628,0.18625949999999997,0.11767034249999997,0.1583135471144265,0.16327015749999993,0.00720000000000004,0.06884723189969223,0.0,0.13262564359975787,0.725,0.2125984251968504,0.5669291338582677,2.6666666666666665,0.6850393700787402,1.1102230246251565e-16
0.5,0.4,0.0,0.0,0.0,0.30000000000000004,0.2800000000000001,0.18550000000000005,0.10867500000000002,0.1235831347980469,0.12582500000000005,0.0,0.05069763308084513,0.0,0.1324773565557526,0.75,0.23076923076923075,0.6153846153846154,2.666666666666667,0.6923076923076923,0.0
0.55,0.4,0.0,0.0,0.0,0.33,0.2948,0.1816705,0.09817024249999999,0.09440140224980054,0.09535925749999997,0.0,0.04285359460127003,0.0,0.13179381840682058,0.775,0.24812030075187969,0.6616541353383458,2.6666666666666665,0.6992481203007518,0.0
0.6000000000000001,0.4,0.0,0.0,0.0,0.35999999999999993,0.3071999999999999,0.17510399999999993,0.08675327999999996,0.07055706659720522,0.07094271999999996,0.0,0.0365005591190052,0.0,0.1308744849693782,0.8,0.26470588235294124,0.7058823529411765,2.666666666666666,0.7058823529411765,0.0
0.45,0.45,0.0,0.0,0.0,0.24750000000000005,0.26243437500000005,0.19186280859375004,0.12340541298339844,0.1693786408051733,0.17479740342285152,0.007565624999999965,0.08969950342801206,0.0,0.13384781870274148,0.725,0.19839679358717435,0.5591182364729459,2.8181818181818183,0.6392785571142284,-1.1102230246251565e-16
0.5,0.45,0.0,0.0,0.0,0.27499999999999997,0.28093749999999995,0.19246484374999995,0.11508100585937496,0.13400619156868113,0.13651665039062494,0.0,0.06983952913437998,0.0,0.13399241053026814,0.75,0.21568627450980393,0.6078431372549019,2.818181818181818,0.6470588235294118,0.0
