Sample	Ncl	subsets_fit	o_e_11	o_e_33	o_e_31	o_e_13	Mixture_tumours
93260_N6	2	Good	3.211173885040137	4.825655994387663	0.0	0.009537106732590459	one_tumour
93260_N7	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93260_N8	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
94314_N3	2	Bad	0.0	0.0	0.0	0.0	mixture_tumours
94314_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
94314_N5	2	Good	3.3037011401580556	3.5404263723496956	0.0	0.0	one_tumour
94314_N6	2	Good	2.1574156889567004	2.426894491847375	0.001333806894401844	0.03686274950548463	one_tumour
94314_N7	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
94315_N10	2	Bad	2.0263287336735503	2.638391243574858	0.01141595825586594	0.03339066855134908	one_tumour
94315_N1	2	Good	3.090758366959411	3.018906186743219	0.016103858427618217	0.03278779848836159	one_tumour
94315_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
94315_N3	2	Good	4.977243834223238	3.0497839748625304	0.004538520213577422	0.014606245090337784	one_tumour
94315_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
94315_N5	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
94315_N6	2	Good	5.185528069083449	4.421663417286702	0.0	0.0052765401371685505	one_tumour
94315_N7	2	Good	3.2432596719648847	3.6737487366709325	0.006018604638890319	0.0019147873461181695	one_tumour
94315_N8	2	Good	4.265649024572297	2.994638441933514	0.0055045039162247515	0.004431684143854492	one_tumour
94315_N9	2	Good	1.0854656208268993	0.7061162425435176	1.5572737565487322	0.9258625810349949	mixture_tumours
94316_N1	2	Good	1.4638401629351272	1.2312495009035493	1.0914895339602302	0.4427350310128817	mixture_tumours
94316_N2	2	Good	1.4090961933274175	1.092256805884984	0.8890776582839476	0.7638672975383656	mixture_tumours
94316_N3	2	Good	7.085691611791189	3.678461633547492	0.0049293544447929155	0.0	one_tumour
