Sample	emission_HMM_multi_state_M_M1	emission_HMM_multi_state_M_M2	emission_HMM_multi_state_M_M3	segments_HMM_multi_state_M1	segments_HMM_multi_state_M2	segments_HMM_multi_state_M3	segments_HMM_multi_state_M1_prop	segments_HMM_multi_state_M2_prop	segments_HMM_multi_state_M3_prop	sites_HMM_multi_state_M1	sites_HMM_multi_state_M2	sites_HMM_multi_state_M3	sites_HMM_multi_state_M1_prop	sites_HMM_multi_state_M2_prop	sites_HMM_multi_state_M3_prop	emission_HMM_as_state_T>N_A1	emission_HMM_as_state_T>N_A2	emission_HMM_as_state_T>N_A3	emission_HMM_as_state_T>N_A4	emission_HMM_as_state_T>N_A5	segments_HMM_as_state_A1	segments_HMM_as_state_A2	segments_HMM_as_state_A3	segments_HMM_as_state_A4	segments_HMM_as_state_A5	segments_HMM_as_state_A1_prop	segments_HMM_as_state_A2_prop	segments_HMM_as_state_A3_prop	segments_HMM_as_state_A4_prop	segments_HMM_as_state_A5_prop	sites_HMM_as_state_A1	sites_HMM_as_state_A2	sites_HMM_as_state_A3	sites_HMM_as_state_A4	sites_HMM_as_state_A5	sites_HMM_as_state_A1_prop	sites_HMM_as_state_A2_prop	sites_HMM_as_state_A3_prop	sites_HMM_as_state_A4_prop	sites_HMM_as_state_A5_prop
91113_N5	0.0235486816590945	0.06551684796367933	0.12223650469013606	0	21	9	0.0	0.7	0.3	0	29061	11433	0.0	0.7176618758334569	0.2823381241665432	0.9532446446527227	0.66218188072342	0.4912005341890275	0.36453992290519155	0.04038945662238724	12	0	23	2	14	0.23529411764705882	0.0	0.45098039215686275	0.0392156862745098	0.27450980392156865	7068	0	15835	55	9660	0.21669017107118768	0.0	0.48546814642222086	0.0016861855417254277	0.29615549696486604
91113_N6	0.0004976982078739126	0.15859692228564815	0.2425705324907858	0	0	20	0.0	0.0	1.0	0	0	20316	0.0	0.0	1.0	0.9721894504609226	0.5940502583412666	0.4889872297585049	0.40563339932957476	0.028016135367571235	14	0	20	0	13	0.2978723404255319	0.0	0.425531914893617	0.0	0.2765957446808511	3706	0	7502	0	3378	0.2540792540792541	0.0	0.5143288084464555	0.0	0.2315919374742904
91113_N7	0.04068828786781174	0.13829449719821651	0.2340722114045547	0	0	20	0.0	0.0	1.0	0	0	50600	0.0	0.0	1.0	0.9668036103918122	0.5760841088806493	0.4889480467495264	0.3706858577616559	0.03497969409976652	16	3	29	0	11	0.2711864406779661	0.05084745762711865	0.4915254237288136	0.0	0.1864406779661017	9166	909	18883	0	11233	0.22806100868353613	0.02261700380682242	0.4698315543280834	0.0	0.2794904331815581
91114_N1	0.05263655459451728	0.08195450314768706	0.15844471928507048	0	19	20	0.0	0.48717948717948717	0.5128205128205128	0	24899	26357	0.0	0.48577727485562666	0.5142227251443734	0.9655888736018983	0.6243984239188922	0.5077205044243445	0.34705500510926945	0.03232270394973881	9	0	25	1	15	0.18	0.0	0.5	0.02	0.3	3863	0	27719	4	9404	0.09424249817028543	0.0	0.6762381068553306	9.758477677482313e-05	0.22942181019760918
91121_N2	0.02446369579210242	0.04893046433165423	0.09264673450552957	20	10	3	0.6060606060606061	0.30303030303030304	0.09090909090909091	37960	19013	5031	0.6122185665440939	0.3066415069995484	0.08113992645635766	0.9341931296865816	0.7225922336020504	0.5006205628686166	0.3571539033989282	0.06670005367733699	15	3	20	1	11	0.3	0.06	0.4	0.02	0.22	16541	29	21398	17	9569	0.34783614417294023	0.000609833031921605	0.4499726626571897	0.00035748832905749256	0.20122387180889095
91121_N4	0.0389852618593162	0.10188839648807092	0.180855141470947	20	8	27	0.36363636363636365	0.14545454545454545	0.4909090909090909	21508	3874	44234	0.3089519650655022	0.05564812686738681	0.635399908067111	0.9462070228209642	0.6479519257042107	0.5065043016327648	0.3757259981538029	0.05682825403316412	16	7	23	0	15	0.26229508196721313	0.11475409836065574	0.3770491803278688	0.0	0.2459016393442623	10457	290	27917	0	17169	0.18729067039206204	0.0051940608600648365	0.5000089552773449	0.0	0.3075063134705282
91143_N1	0.028668976110184475	0.07715135726922713	0.12583014222110472	20	13	1	0.5882352941176471	0.38235294117647056	0.029411764705882353	31551	15732	468	0.6607400892127914	0.32945906892002264	0.009800841867186027	0.9631262872815832	0.5695224792214004	0.4867407115506315	0.4040402640785864	0.03601999126386231	12	3	26	1	17	0.2033898305084746	0.05084745762711865	0.4406779661016949	0.01694915254237288	0.288135593220339	8547	1615	14853	12	8808	0.25260824589921677	0.04773163883552534	0.43898330131520613	0.0003546623319048323	0.26032215161814687
91208_N1	0.03947686292971818	0.061839347176518955	0.10878860729926307	5	16	7	0.17857142857142858	0.5714285714285714	0.25	9655	39226	6357	0.17478909446395596	0.7101270864260111	0.11508381911003294	0.9703063828104868	0.6693996993165543	0.5015913676755994	0.3674654684383726	0.03152468456759381	16	4	22	1	23	0.24242424242424243	0.06060606060606061	0.3333333333333333	0.015151515151515152	0.3484848484848485	9237	30	18969	6	15015	0.21353769332131214	0.0006935293709688606	0.4385186212636105	0.0001387058741937721	0.3471114501699147
91208_N2	0.052510558906784785	0.12825235942071048	0.17835202067863912	0	8	21	0.0	0.27586206896551724	0.7241379310344828	0	17383	69393	0.0	0.2003203650779017	0.7996796349220983	0.8809323399238048	0.6393414848282977	0.49897038355036555	0.3598070627889066	0.13913654362828348	14	11	24	25	4	0.1794871794871795	0.14102564102564102	0.3076923076923077	0.32051282051282054	0.05128205128205128	224	14483	30338	24942	87	0.0031966207152438852	0.20668150811998745	0.43294231812084366	0.3559380083911294	0.001241544652795616
91213_N1	0.02570453520518866	0.07442593466614485	0.11541677404160988	1	25	5	0.03225806451612903	0.8064516129032258	0.16129032258064516	2127	61901	8989	0.02913020255556925	0.8477614802032404	0.12310831724119041	0.9726059395632652	0.6692670136839844	0.4868966850703366	0.2663798184844643	0.019958096654377432	3	14	26	33	14	0.03333333333333333	0.15555555555555556	0.28888888888888886	0.36666666666666664	0.15555555555555556	1656	8712	13621	17183	8142	0.033580727582430955	0.17666382771626718	0.27620959565235026	0.3484406051019994	0.1651052439469522
91213_N2	0.038743449419025404	0.18010732570392105	0.2661919652458582	1	0	20	0.047619047619047616	0.0	0.9523809523809523	8	0	55339	0.00014454261296908594	0.0	0.999855457387031	0.9640190999951539	0.7620679531288931	0.5054399782598099	0.40167238104265285	0.03160648850812293	13	6	20	1	22	0.20967741935483872	0.0967741935483871	0.3225806451612903	0.016129032258064516	0.3548387096774194	11482	107	16827	29	15164	0.263294274117728	0.002453621958769979	0.3858607168245087	0.0006650003439656951	0.34772638675502765
91213_N3	0.03268398080848188	0.07148891926432215	0.11728863955300883	18	20	3	0.43902439024390244	0.4878048780487805	0.07317073170731707	38200	30562	2324	0.5373772613454126	0.42992994401147905	0.03269279464310835	0.9759656823161731	0.6312957959853096	0.4993588955161111	0.38114633988535396	0.025097412959770745	16	3	29	0	14	0.25806451612903225	0.04838709677419355	0.46774193548387094	0.0	0.22580645161290322	12878	479	29637	0	10300	0.24164071002364243	0.008987878560438324	0.5561038766089992	0.0	0.1932675348069201
91215_N1	0.040855771561305196	0.07966274976689823	0.15260808744389834	15	7	23	0.3333333333333333	0.15555555555555556	0.5111111111111111	14615	2839	36738	0.26968925302627694	0.05238780631827576	0.6779229406554473	0.9557668495968393	0.6983287276827415	0.4957161544658048	0.3945643823964548	0.042658550911661965	24	1	26	0	11	0.3870967741935484	0.016129032258064516	0.41935483870967744	0.0	0.1774193548387097	16535	47	20185	0	6460	0.3825155574062507	0.0010872834108311934	0.46695352441760934	0.0	0.14944363476530872
91215_N2	0.03717849956834719	0.09491265625080222	0.13476887597595144	22	14	7	0.5116279069767442	0.32558139534883723	0.16279069767441862	25498	16151	7897	0.5146328664271586	0.3259798974690187	0.15938723610382272	0.9503998550973518	0.7437177403857338	0.5025606524904774	0.28297932353497973	0.04811112893031037	11	6	17	7	13	0.2037037037037037	0.1111111111111111	0.3148148148148148	0.12962962962962962	0.24074074074074073	8614	78	18656	143	13548	0.20989790199566266	0.0019006311069957845	0.4545919734886328	0.003484490362825605	0.33012500304588316
91215_N4	0.05406175130784837	0.201983034845304	0.2887651292873254	0	12	20	0.0	0.375	0.625	0	19804	42655	0.0	0.31707199923149587	0.6829280007685041	0.969817725345306	0.6459797644937324	0.5078813882958493	0.34561578106644414	0.029494917945640332	16	0	21	0	11	0.3333333333333333	0.0	0.4375	0.0	0.22916666666666666	14058	0	22843	0	8757	0.3078978492268606	0.0	0.5003066275351526	0.0	0.19179552323798676
91215_N5	0.06687922392938367	0.14418332617141974	0.2507563642301417	0	9	16	0.0	0.36	0.64	0	2998	12454	0.0	0.19402019156096298	0.805979808439037	0.9682214667426536	0.6216889573282738	0.5113333866955818	0.4299739095722107	0.025914087250048467	8	0	9	2	14	0.24242424242424243	0.0	0.2727272727272727	0.06060606060606061	0.42424242424242425	1990	0	3052	355	6083	0.17334494773519163	0.0	0.2658536585365854	0.03092334494773519	0.5298780487804878
91215_N6	0.024171464069666176	0.11064104997357567	0.1877483517392068	17	23	7	0.3617021276595745	0.48936170212765956	0.14893617021276595	9998	15038	5643	0.3258906744026859	0.4901724306528896	0.18393689494442453	0.972054418872835	0.6026945669561157	0.49223537529229205	0.39685189923986713	0.030027501091629678	8	1	17	2	14	0.19047619047619047	0.023809523809523808	0.40476190476190477	0.047619047619047616	0.3333333333333333	2351	166	13775	25	7280	0.09963130906471161	0.007034792558376065	0.5837606475399415	0.001059456710598805	0.308513794126372
91215_N7	0.040454138145008485	0.07908099953200678	0.11907199068955059	7	22	15	0.1590909090909091	0.5	0.3409090909090909	18498	45608	33866	0.18880904748295432	0.4655207610337648	0.34567019148328093	0.8864063062318038	0.5759637262617378	0.4812943810009544	0.40142801829335445	0.09828550735939497	5	18	22	11	6	0.08064516129032258	0.2903225806451613	0.3548387096774194	0.1774193548387097	0.0967741935483871	59	24482	37056	10866	90	0.0008131986272104531	0.3374360812095985	0.5107438699984839	0.14976637768252174	0.0012404724821854368
