simulation,clone id,clone fitness,"birth, death rates",clone proportion,clone size
408,AAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15648901238622168,16640766
408,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.07620796691959512,8103821
408,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.20041715191465603,21312007
408,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.058259682107393185,6195232
408,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2569529668438463,27323926
408,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.12012909109770005,12774316
411,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,6
415,BAAAA,1.0,"(0.5, 0.5, 0.0)",1.0,10
419,ABBBA,1.0,"(0.5, 0.5, 0.0)",1.0,16
427,BAABB,1.0,"(0.5, 0.5, 0.0)",1.0,4
436,AAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.207034613208306,23116481
436,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.24832331291191392,27726577
436,AABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16023165827790606,17890690
436,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.11453184098958408,12788070
436,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1621942278328028,18109821
436,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10768434677948714,12023512
438,BBBAB,1.0,"(0.5, 0.5, 0.0)",1.0,12
442,BBABA,1.0,"(0.5, 0.5, 0.0)",1.0,4
448,AABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0738921806372057,10371985
448,AABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.32264659832309245,45288766
448,AABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.307182457155938,43118119
448,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2962787638837638,41587606
463,BAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.23052680858893726,26352351
463,BAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3830636889972337,43789392
463,BABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.19238279306504605,21991971
463,BABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04015116065754097,4589824
463,BABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15387554869124198,17590069
465,BAABA,1.0,"(0.5, 0.5, 0.0)",1.0,4
470,BBABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2373621830211507,32308066
470,BBBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09157281776856112,12464246
470,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.4628842946357211,63004545
470,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.20818070457456705,28336089
471,BBABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08369864801794275,13101340
