sample	n_biallelic	n_multi
CPCT02020828T	13020	0
CPCT02020587T	4653	0
DRUP01230004T	159639	1
CPCT02070491T	9739	0
CPCT02330094T	25674	0
CPCT02250009T	5552	0
CPCT02020386T	15398	0
CPCT02230132T	5565	0
CPCT02050250T	4656	0
CPCT02010419T	14455	1
WIDE01010440T	2721	0
WIDE01010888T	29755	1
ACTN01020001T	4782	0
CPCT02080086T	87889	2
CPCT02070102T	12392	0
OPTC01070020T	17033	0
CPCT02020968T	7981	1
CPCT02210085T	5781	0
ACTN01020275T	7367	2
CPCT02160058T	22258	2
CPCT02020573T	32916	0
WIDE01011211T	1971	0
WIDE01010557T	277004	29
WIDE01010016T	62830	18
CPCT02140110T	9053	0
CPCT02200006T	132437	1
CPCT02030220T	5450	1
CPCT02300002T	4250	0
CPCT02020447T	5866	0
WIDE01010033T	1361	0
CPCT02020942T	5742	0
WIDE01011190T	5275	0
CPCT02210050T	13837	0
CPCT02090009T	77136	0
CPCT02120131T	6602	0
CPCT02440018T	7474	0
CPCT02020578T	285498	7
CPCT02320011T	2819	0
CPCT02010901T	12485	0
CPCT02070253T	3836	0
CPCT02350029T	6429	0
CPCT02450014T	62823	2
DRUP01010124T	8789	0
CPCT02330036T	31525	2
CPCT02050203T	18285	0
CPCT02290065T	7323	0
WIDE01010627T	4443	0
CPCT02010976T	47924	0
DRUP01050040T	59990	15
CPCT02030213T	107229	0
CPCT02070194T	15721	0
CPCT02010786T	103268	2
DRUP01060009T	35901	0
CPCT02010969T	3437	0
CPCT02010246T	3254	1
CPCT02011028T	13437	0
WIDE01010117T	9646	0
CPCT02370008T	10185	0
ACTN01020026T	3628	0
CPCT02330061T	2599	0
CPCT02070368T	6113	0
CPCT02350003T	4127	0
CPCT02120168T	17167	0
CPCT02070292T	4741	0
CPCT02080158T	7318	0
CPCT02070367T	6217	0
WIDE01011168T	3545	0
CPCT02140056T	21166	1
CPCT02050282T	13253	0
CPCT02070074T	9909	0
CPCT02010618T	27007	0
CPCT02260012T	5062	0
DRUP01070026TII	99525	3
CPCT02380015T	10297	0
WIDE01010754T	8145	1
CPCT02040170T	8384	0
CPCT02140079T	2883	0
CPCT02270021T	5551	0
CPCT02100144T	29598	3
ACTN01020007T	1656	0
CPCT02240005T	14478	3
CPCT02140017TII	9349	0
CPCT02020243T	16767	0
CPCT02230086T	109581	1
ACTN01020252T	4224	0
CPCT02070362T	12294	0
CPCT02010727T	60270	0
CPCT02040102T	41506	2
DRUP01070016T	2683	1
CPCT02050167T	6579	0
CPCT02010022T	55374	1
CPCT02040340T	6846	0
CPCT02040298T	3847	0
CPCT02050276TII	30673	0
WIDE01010925T	14822	1
WIDE01010159T	20001	0
CPCT02380006T	31910	0
CPCT02010853T	11622	1
CPCT02060111T	9986	0
CPCT02070143T	5781	0
CPCT02290061T	242039	1
CPCT02010993TII	6692	1
CPCT02340066TIV	9181	0
CPCT02080099T	14754	0
CPCT02010300T	2478	0
WIDE01010671T	29078	0
CPCT02040072T	6251	0
GAYA01200002T	2882	0
CPCT02030296T	12595	0
WIDE01010104T	59424	0
WIDE01010405T	4059	0
CPCT02290018T	5435	0
DRUP01010104T	15455	0
CPCT02210041T	23730	1
CPCT02020690T	16881	0
CPCT02020407T	9306	0
ACTN01020209T	39910	1
ACTN01020114T2	5488	0
CPCT02020476T	15890	1
WIDE01010721T	6704	0
WIDE01011186T	3073	0
CPCT02270041T	4828	0
WIDE01011193T	4255	0
GAYA01010018T	1618	0
CPCT02230080T	14687	0
DRUP01070003T	3888	0
CPCT02220077T	14934	0
CPCT02040283T	8429	0
CPCT02220081T	16106	0
CPCT02340080T	4363	0
WIDE01010067T	6318	0
CPCT02130158T	9292	1
CPCT02070055T	14586	0
WIDE01010864T	39701	0
CPCT02040100T	10404	0
CPCT02070450T	10724	0
CPCT02120047T	7961	0
CPCT02100137T	3764	1
CPCT02010942TII	12335	0
CPCT02050276T	31182	0
GAYA01010030T	2024	0
CPCT02010750T	13007	1
CPCT02100019T	264208	7
DRUP01070199T	8213	0
CPCT02020931T	6549	0
CPCT02110031T	12269	0
WIDE01010891T	5504	0
WIDE01010324T	7968	0
CPCT02140070T	7044	0
CPCT02040160T	7129	0
CPCT02140028T	41504	1
CPCT02050225TII	3895	0
WIDE01010951T	6529	0
CPCT02140015T	7776	0
CPCT02180022T	7800	0
CPCT02040086T	7222	0
CPCT02060249T	6176	0
WIDE01010667T	19023	1
CPCT02020896T	21816	1
ACTN01020259T	40361	6
CPCT02030443T	21407	1
CPCT02130029T	1864	0
CPCT02270028T	7494	0
CPCT02010256TII	24265	0
WIDE01010096T	15462	0
DRUP01040010T	142967	2
CPCT02190040T	8369	0
CPCT02070087T	5007	0
WIDE01010516T	6457	0
CPCT02030259TII	11157	1
WIDE01010827T	8501	0
CPCT02050159T	194596	2
CPCT02060196T	6804	0
CPCT02150021T	19581	2
CPCT02010325T	3594	0
CPCT02010730T	15422	0
WIDE01011094T	6305	0
CPCT02120059T	12446	0
CPCT02260015T	8982	0
CPCT02060118T	9942	0
CPCT02020486T	20091	0
WIDE01010260T	62468	0
CPCT02020277TII	22182	0
WIDE01010978T	10933	0
ACTN01020181T	19047	1
CPCT02030269T	7921	0
CPCT02160024T	9593	0
ACTN01020046T	2672	1
CPCT02100149T	74052	0
CPCT02070085TII	5373	1
CPCT02100055T	22595	0
CPCT02070044T	33703	0
CPCT02110026T	34134	1
WIDE01010926T	19578	0
CPCT02390028T	15445	0
CPCT02010774T	3151	0
CPCT02080063T	5602	0
GAYA01350002T	15167	0
